Date,Close
1/2/2018 16:00:00,201.07
1/3/2018 16:00:00,205.05
1/4/2018 16:00:00,205.63
1/5/2018 16:00:00,209.99
1/8/2018 16:00:00,212.05
1/9/2018 16:00:00,209.31
1/10/2018 16:00:00,212.52
1/11/2018 16:00:00,217.24
1/12/2018 16:00:00,221.23
1/16/2018 16:00:00,221.53
1/17/2018 16:00:00,217.5
1/18/2018 16:00:00,220.33
1/19/2018 16:00:00,220.46
1/22/2018 16:00:00,227.58
1/23/2018 16:00:00,250.29
1/24/2018 16:00:00,261.3
1/25/2018 16:00:00,269.7
1/26/2018 16:00:00,274.6
1/29/2018 16:00:00,284.59
1/30/2018 16:00:00,278.8
1/31/2018 16:00:00,270.3
2/1/2018 16:00:00,265.07
2/2/2018 16:00:00,267.43
2/5/2018 16:00:00,254.26
2/6/2018 16:00:00,265.72
2/7/2018 16:00:00,264.56
2/8/2018 16:00:00,250.1
2/9/2018 16:00:00,249.47
2/12/2018 16:00:00,257.95
2/13/2018 16:00:00,258.27
2/14/2018 16:00:00,266
2/15/2018 16:00:00,280.27
2/16/2018 16:00:00,278.52
2/20/2018 16:00:00,278.55
2/21/2018 16:00:00,281.04
2/22/2018 16:00:00,278.14
2/23/2018 16:00:00,285.93
2/26/2018 16:00:00,294.16
2/27/2018 16:00:00,290.61
2/28/2018 16:00:00,291.38
3/1/2018 16:00:00,290.39
3/2/2018 16:00:00,301.05
3/5/2018 16:00:00,315
3/6/2018 16:00:00,325.22
3/7/2018 16:00:00,321.16
3/8/2018 16:00:00,317
3/9/2018 16:00:00,331.44
3/12/2018 16:00:00,321.3
3/13/2018 16:00:00,315.88
3/14/2018 16:00:00,321.55
3/15/2018 16:00:00,321.09
3/16/2018 16:00:00,318.45
3/19/2018 16:00:00,313.48
3/20/2018 16:00:00,317.5
3/21/2018 16:00:00,316.48
3/22/2018 16:00:00,306.7
3/23/2018 16:00:00,300.94
3/26/2018 16:00:00,320.35
3/27/2018 16:00:00,300.69
3/28/2018 16:00:00,285.77
3/29/2018 16:00:00,295.35
4/2/2018 16:00:00,280.29
4/3/2018 16:00:00,283.67
4/4/2018 16:00:00,288.94
4/5/2018 16:00:00,293.97
4/6/2018 16:00:00,288.85
4/9/2018 16:00:00,289.93
4/10/2018 16:00:00,298.07
4/11/2018 16:00:00,303.67
4/12/2018 16:00:00,309.25
4/13/2018 16:00:00,311.65
4/16/2018 16:00:00,307.78
4/17/2018 16:00:00,336.06
4/18/2018 16:00:00,334.52
4/19/2018 16:00:00,332.7
4/20/2018 16:00:00,327.77
4/23/2018 16:00:00,318.69
4/24/2018 16:00:00,307.02
4/25/2018 16:00:00,305.76
4/26/2018 16:00:00,313.98
4/27/2018 16:00:00,311.76
4/30/2018 16:00:00,312.46
5/1/2018 16:00:00,313.3
5/2/2018 16:00:00,313.36
5/3/2018 16:00:00,311.69
5/4/2018 16:00:00,320.09
5/7/2018 16:00:00,326.26
5/8/2018 16:00:00,326.89
5/9/2018 16:00:00,330.3
5/10/2018 16:00:00,329.6
5/11/2018 16:00:00,326.46
5/14/2018 16:00:00,328.53
5/15/2018 16:00:00,326.13
5/16/2018 16:00:00,328.19
5/17/2018 16:00:00,325.22
5/18/2018 16:00:00,324.18
5/21/2018 16:00:00,331.82
5/22/2018 16:00:00,331.62
5/23/2018 16:00:00,344.72
5/24/2018 16:00:00,349.29
5/25/2018 16:00:00,351.29
5/29/2018 16:00:00,349.73
5/30/2018 16:00:00,353.54
5/31/2018 16:00:00,353.54
6/1/2018 16:00:00,359.93
6/4/2018 16:00:00,361.81
6/5/2018 16:00:00,365.8
6/6/2018 16:00:00,367.45
6/7/2018 16:00:00,361.4
